Longitude,Latitude,Code
102.6062483,17.97146029,CH1
102.6065095,17.97144959,CH2
102.6068673,17.97142721,CH3
102.6068028,17.97102093,CH4
102.6067833,17.97092702,CH5
102.6064397,17.97095798,CH6
102.6064285,17.97052911,CH7
102.6064251,17.97049132,CH8
102.6062373,17.97052543,CH9
102.6062312,17.97052655,CH10
102.6062114,17.97053628,CH11
102.6061182,17.97055034,CH12
102.6059308,17.97056153,CH13
102.6057815,17.97059304,CH14
102.6058067,17.97062573,CH15
102.6058184,17.97063971,CH16
102.6058547,17.97072214,CH17
102.6056241,17.97079982,CH18
102.60578,17.97119433,CH19
102.6062254,17.97113228,CH20
102.6062483,17.97146029,CH21
